pay_yr,consume_large_area_name,members,amt,arpu,freq,qty,auv,upt,members_ly,members_growth_rate,amt_ly,amt_growth_rate,stores,stores_traffic,member_cnt_first,member_cnt_ttl,effective_new_pct,total_amt,new_cust_amt,new_cust_amt_pct,old_cust_amt,old_cust_amt_pct,last_year_total,retained_cnt,retention_rate
2022,可隆-东北,31622,134675796.37,4325.3158,1.756924,2.46019,1758.122526,1.16589,,,,,14,2258.714286,19223,31622,0.6079,134675796.37,78010012.32,0.579243,56665784.05,0.420757,,,
2022,可隆-华东,38887,134740047.5,3202.8693,1.743468,3.662595,874.480933,2.112639,,,,,21,1851.761905,25026,38887,0.643557,134740047.5,92358643.48,0.685458,42381404.02,0.314542,,,
2022,可隆-华北,38832,150375531.57,4058.1255,1.339046,2.93949,1380.554433,2.186226,,,,,17,2284.235294,25361,38832,0.653095,150375531.57,87273447.26,0.58037,63102084.31,0.41963,,,
2022,可隆-华南,31223,116163504.22,3691.8294,1.455768,2.607499,1415.850799,1.886966,,,,,21,1486.809524,18647,31223,0.59722,116163504.22,68022792.47,0.585578,48140711.75,0.414422,,,
2022,可隆-华西,30506,166846600.65,5299.1533,1.460589,2.544609,2082.501754,1.595702,,,,,17,1794.470588,19955,30506,0.654134,166846600.65,129637973.39,0.776989,37208627.26,0.223011,,,
2022,可隆-安徽,26520,87311279.13,3211.8905,1.368614,2.893134,1110.177027,2.247701,,,,,11,2410.909091,16010,26520,0.603695,87311279.13,52595877.99,0.602395,34715401.14,0.397605,,,
2022,可隆-山西,19599,78985298.75,3881.6801,1.598111,3.428555,1132.162182,2.185626,,,,,11,1781.727273,11103,19599,0.566508,78985298.75,48981311.28,0.620132,30003987.47,0.379868,,,
2022,可隆-新疆,13940,63245453.88,4297.8586,1.724536,3.119693,1377.654403,1.72578,,,,,6,2323.333333,7869,13940,0.564491,63245453.88,34825286.99,0.550637,28420166.89,0.449363,,,
2022,可隆-电商,43487,198041657.35,4846.4589,1.359517,3.018808,1605.421462,1.917583,,,,,1,43487.0,23517,43487,0.540782,198041657.35,109931339.66,0.555092,88110317.69,0.444908,,,
2022,可隆-线下山,15566,61806488.08,4237.9133,1.481944,3.021242,1402.705666,1.919556,,,,,8,1945.75,9840,15566,0.632147,61806488.08,35852954.83,0.580084,25953533.25,0.419916,,,
2022,可隆-西北,20771,80188385.16,4241.9018,1.229426,2.192057,1935.123998,1.698325,,,,,10,2077.1,11969,20771,0.576236,80188385.16,45621577.97,0.56893,34566807.19,0.43107,,,
2022,可隆-青海,6461,20190759.39,3006.699,1.34772,2.784391,1079.840672,2.091637,,,,,2,3230.5,3784,6461,0.585668,20190759.39,11427364.09,0.56597,8763395.3,0.43403,,,
2023,可隆-东北,34843,153700649.93,4320.8807,1.506731,2.868412,1506.366754,1.990266,31622.0,0.1018594649294795,134675796.37,0.14126408807513036,15,2322.866667,21736,34843,0.623827,153700649.93,97265613.79,0.632825,56435036.14,0.367175,31622.0,6297.3,0.199143003883379
2023,可隆-华东,54876,171421808.62,3683.6912,1.592462,2.266377,1625.365377,1.162711,38887.0,0.4111656851904235,134740047.5,0.2722409691892087,22,2494.363636,27422,54876,0.499708,171421808.62,78112118.38,0.455672,93309690.24,0.544328,38887.0,7352.83,0.18908196867726165
2023,可隆-华北,37717,132435384.18,3346.1647,1.526804,3.485581,960.002039,2.218798,38832.0,-0.028713432220848767,150375531.57,-0.11930230405635389,21,1796.047619,21526,37717,0.570724,132435384.18,78097013.62,0.589699,54338370.56,0.410301,38832.0,8741.81,0.22511858842169802
2023,可隆-华南,36551,123556335.12,3314.9846,1.535413,3.295423,1005.936029,1.835361,31223.0,0.1706434359286424,116163504.22,0.0636415968133921,19,1923.736842,18764,36551,0.513365,123556335.12,67668098.06,0.54767,55888237.06,0.45233,31223.0,7414.8,0.2374786704962942
2023,可隆-华西,36364,105697355.98,2967.7595,1.625868,2.850878,1040.998271,1.795331,30506.0,0.1920277978102669,166846600.65,-0.36649979341368144,15,2424.266667,20872,36364,0.573974,105697355.98,61233120.75,0.579325,44464235.23,0.420675,30506.0,5845.76,0.19162653468749177
2023,可隆-安徽,34380,118807957.7,3263.5518,1.649441,3.232936,1009.47004,2.204673,26520.0,0.2963800904977376,87311279.13,0.36074008860990103,12,2865.0,18901,34380,0.549767,118807957.7,62514608.8,0.526182,56293348.9,0.473818,26520.0,6091.65,0.22970032949742
2023,可隆-山西,28035,74371535.84,3147.8659,1.469255,2.374625,1325.62669,1.546045,19599.0,0.4304301239859176,78985298.75,-0.058412932317990385,13,2156.538462,13506,28035,0.481755,74371535.84,36413493.89,0.489616,37958041.95,0.510384,19599.0,4163.07,0.2124123092402294
2023,可隆-新疆,15595,53028992.0,3881.4464,1.844516,3.575252,1085.642865,1.90976,13940.0,0.11872309899569577,63245453.88,-0.16153669952917737,5,3119.0,8322,15595,0.533633,53028992.0,23586022.95,0.444776,29442969.05,0.555224,13940.0,3005.75,0.21562069104054582
2023,可隆-电商,79671,305442335.32,4270.0866,1.392302,1.685952,2532.744703,1.259098,43487.0,0.8320647549842481,198041657.35,0.5423135688073457,1,79671.0,42289,79671,0.530795,305442335.32,171018996.2,0.559906,134423339.12,0.440094,43487.0,11513.9,0.264766513500426
2023,可隆-线下山,16714,51596508.11,3472.3418,2.078263,3.579076,970.178175,1.873076,15566.0,0.07375048181934996,61806488.08,-0.16519268910384588,7,2387.714286,8839,16714,0.528838,51596508.11,22394741.99,0.434036,29201766.12,0.565964,15566.0,2763.4,0.17752783189071336
2023,可隆-西北,27527,95219022.24,2950.4356,1.386573,2.775569,1063.002003,2.152611,20771.0,0.3252611814549131,80188385.16,0.1874415733651369,10,2752.7,16300,27527,0.592146,95219022.24,53863591.72,0.565681,41355430.52,0.434319,20771.0,3672.7,0.17681848481997442
2023,可隆-青海,6088,22284436.2,3942.3522,1.998945,3.856618,1022.230351,2.10622,6461.0,-0.05773100139297327,20190759.39,0.10369480263515718,3,2029.333333,3118,6088,0.512155,22284436.2,10878392.66,0.488161,11406043.54,0.511839,6461.0,1464.81,0.22671626428074296
